Name, Url, Location,Island, Players, Tier, Days, Rounds,Holes per round,Points_allocated
Knottingley Giants, https://www.pdga.com/tour/event/70053, Waimate,SI,90,C,2,3,18,50
Waitawa Coastal Cup, https://www.pdga.com/tour/event/65522, Auckland,NI,93,C,2,2,27,50
Sub Zero, https://www.pdga.com/tour/event/70411, Omarama,SI,56,C,2,3,18,50
Tucker Beach Rush, https://www.pdga.com/tour/event/70605, Queenstown,SI,90,C,2,2,27,50
Blood Sacrifice, https://www.pdga.com/tour/event/72792, Wanaka,SI,45,C,1,2,18,40
Xtreme,https://www.pdga.com/tour/event/72409,Tauranga,NI,84,C,2,3,18,50
Te Pohue Breeze,https://www.pdga.com/tour/event/73465,Napier,NI,87,C,2,3,18,50
Waimate Spring Sling,https://www.pdga.com/tour/event/74545,Waimate,SI,32,C,3,4,18,50
Auckland Champs,https://www.pdga.com/tour/event/72645,Auckland,NI,72,C,2,3,18,50
Rapa Rumble,https://www.pdga.com/tour/event/72995,Masterton,NI,75,C,2,3,18,50
Moonbase (South Islands),https://www.pdga.com/tour/event/71069,Twizel,SI,183,A/C,3,4,18,70
Faultline,None,Wellington,NI,83,X,2,3,18,40
Seafarer,https://www.pdga.com/tour/event/74675,Dunedin,SI,72,C,2,3,18,50
Bottle Lake,https://www.pdga.com/tour/event/73836,Christchurch,SI,151,A/B,3,3,18,50
Nationals,https://www.pdga.com/tour/event/73325,Auckland,NI,215,A/B,4,4,18,70
North Islands,https://www.pdga.com/tour/event/73246,Inglewood,NI,108,A/B,3,3,18,70
Taupo Classic,https://www.pdga.com/tour/event/73865,Taupo,NI,118,A/B,3,3,18,50
Paradise Platers,https://www.pdga.com/tour/event/74493,Glenorchy,SI,108,B/C,3,3,18,50
Makaripi,https://www.pdga.com/tour/event/77185,Rotorua,NI,79,C,2,3,18,50
Queenstown Classic,https://www.pdga.com/tour/event/74798,Queenstown,SI,83,C,2,4,18,50
Brook Park Brave,https://www.pdga.com/tour/event/77186,Te Kuiti,NI,71,C,3,3,18,50
Lord and Ladies of Lismore,https://www.pdga.com/tour/event/79590,Wanaka,SI,130,C,2,4,18,50